ZIP,num_sch,num_work,num_personal,num_pickdrop,num_discret,num_shop,num_home,num_em,num_m,num_aft,num_evn,num_walk,num_bike,num_taxi,num_local_bus,num_inter_rail,num_intra_rail,num_auto,num_other
90001,2,6,0,1,12,2,12,12,53,30,35,28,4,0,4,0,0,79,0
90002,3,3,1,5,2,0,1,1,22,14,9,16,0,1,2,0,0,21,0
90003,8,6,0,6,8,10,8,4,35,34,37,20,0,2,16,0,0,63,0
90004,7,1,4,6,8,5,5,8,29,33,48,49,4,1,12,1,0,45,0
90005,5,6,1,2,3,2,3,5,28,25,30,41,1,0,9,1,0,30,0
90006,16,1,0,7,9,8,2,1,36,34,45,44,10,0,19,0,0,44,0
90007,21,17,4,11,10,12,9,13,67,69,32,96,2,0,19,0,0,58,0
90008,1,1,0,3,10,8,0,4,28,18,20,25,0,0,8,0,0,33,0
90010,1,13,1,1,1,4,0,6,24,18,20,29,3,0,18,4,2,15,0
90011,8,4,0,22,4,0,1,9,58,75,58,88,4,0,37,0,0,64,0
90012,2,54,10,11,34,12,1,26,88,92,47,81,0,0,29,32,13,97,0
90013,1,15,1,2,1,5,8,9,27,22,14,33,7,0,7,2,2,13,0
90014,0,7,0,0,2,0,0,6,12,4,5,12,0,0,6,0,0,8,0
90015,4,18,2,1,11,19,0,3,57,38,17,47,5,1,19,1,5,38,0
90016,7,6,1,8,10,13,4,12,57,62,47,58,0,0,20,2,1,81,0
90017,2,15,8,0,13,8,1,9,47,33,29,34,0,0,8,9,9,54,0
90018,6,3,0,6,13,6,15,9,56,42,35,49,0,0,19,0,0,53,0
90019,3,2,3,2,3,16,5,7,39,36,44,28,2,0,11,0,0,75,0
90020,0,3,0,0,1,4,3,4,8,26,19,25,0,0,11,0,0,13,0
90021,0,14,0,2,1,0,0,3,12,6,10,8,0,0,5,0,0,18,0
90022,12,9,0,3,9,14,13,7,40,59,33,45,9,0,6,0,1,61,0
90023,12,9,4,4,16,3,9,6,45,41,49,39,0,0,2,0,0,88,0
90024,5,16,5,5,4,6,9,8,35,39,27,28,2,0,7,0,0,62,0
90025,1,6,4,3,12,5,10,3,14,21,42,16,1,0,1,0,0,58,0
90026,3,8,1,1,11,3,15,4,25,33,56,21,8,0,7,0,0,71,0
90027,4,20,6,2,12,10,7,15,40,59,37,32,11,0,14,1,2,85,0
90028,1,17,4,3,19,10,7,6,43,58,25,51,5,0,12,6,1,51,0
90029,0,5,1,4,14,6,1,3,11,32,28,12,0,0,2,0,0,58,0
90031,2,5,1,1,13,4,1,3,35,34,23,18,0,0,4,0,5,61,0
90032,12,13,2,15,9,0,0,4,42,38,34,22,4,0,6,1,0,80,0
90033,17,13,6,6,12,6,19,6,48,54,25,68,2,0,5,0,0,77,0
90034,4,3,5,2,14,4,1,1,20,13,17,4,1,0,2,0,0,44,0
90035,0,4,0,2,11,4,5,0,25,20,11,9,0,0,0,0,0,40,0
90036,4,5,1,1,15,16,4,5,25,30,25,8,0,0,6,0,0,70,0
90037,2,2,2,2,11,1,0,3,19,34,15,34,0,0,17,0,0,22,0
90038,0,11,1,0,7,1,1,2,20,20,8,15,1,0,5,0,0,27,0
90039,0,6,2,0,2,3,4,6,17,7,16,9,4,0,1,0,0,31,0
90040,0,16,0,2,0,5,0,5,9,14,14,2,1,0,2,0,0,38,0
90041,4,3,0,8,2,0,0,1,6,9,9,6,0,0,3,0,0,16,0
90042,4,6,0,0,7,10,2,4,29,20,20,34,0,0,9,0,0,27,0
90043,0,5,0,2,2,1,0,1,6,9,3,4,0,0,2,0,0,13,0
90044,7,8,0,7,4,3,4,6,32,39,21,15,1,0,9,0,0,66,0
90045,1,26,2,32,13,5,2,12,47,42,37,6,0,3,5,0,0,108,10
90046,6,5,2,4,18,9,0,9,31,30,35,27,4,0,5,0,0,57,0
90047,5,1,1,11,12,2,5,1,34,28,26,25,3,0,14,0,0,45,0
90048,1,8,11,0,12,16,3,9,20,36,12,10,0,0,3,1,0,62,0
90049,2,9,0,1,8,2,0,2,12,14,7,1,0,0,1,0,0,32,0
90052,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,1,0
90056,0,3,0,0,3,0,0,0,5,3,0,2,0,0,1,0,0,6,0
90057,2,6,5,0,13,6,5,1,39,40,14,50,0,0,31,0,1,7,0
90058,0,17,0,1,0,1,0,6,5,8,2,2,0,0,1,0,0,22,0
90059,5,1,2,2,21,0,2,2,18,52,17,13,0,0,1,0,1,62,0
90061,0,2,2,0,4,0,2,3,11,3,20,3,0,0,2,2,1,33,0
90062,1,0,0,0,0,2,2,1,7,10,3,9,0,0,3,0,0,9,0
90063,1,1,1,0,0,4,9,0,6,14,16,12,0,0,0,0,1,21,0
90064,0,6,0,0,6,16,1,3,8,25,5,10,0,0,2,1,0,27,0
90065,1,13,2,1,6,11,3,2,21,32,22,6,2,0,2,1,0,60,0
90066,1,11,0,0,8,1,3,9,21,21,37,2,2,0,0,0,0,70,0
90067,0,16,0,1,6,2,0,1,8,14,8,7,0,0,1,0,0,24,0
90068,0,4,0,1,7,0,3,3,8,12,13,3,0,0,0,0,0,28,0
90069,3,6,1,4,6,7,1,3,19,17,13,7,1,1,1,0,0,37,0
90071,1,11,2,0,1,0,0,2,13,12,2,15,0,0,8,0,0,8,0
90073,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,3,0
90077,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0
90079,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,8,0
90089,0,4,0,1,4,0,0,0,5,4,0,1,3,0,1,0,0,5,0
90095,0,9,0,2,0,0,0,2,8,2,1,2,5,0,0,0,0,6,0
90189,0,0,0,0,0,0,0,0,3,5,0,4,0,0,1,3,0,0,0
90201,5,12,2,17,27,7,0,8,40,45,46,45,2,0,7,0,0,82,0
90209,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
90210,0,15,3,3,2,1,0,4,10,10,3,6,0,0,1,0,0,20,0
90211,0,3,3,1,1,1,0,0,8,1,4,2,0,0,0,0,0,11,0
90212,0,10,0,0,3,1,1,2,8,7,11,7,0,0,2,0,0,17,0
90220,2,1,1,3,13,3,4,1,11,34,10,14,0,4,4,2,2,27,0
90221,1,8,0,0,1,1,0,7,18,7,7,14,0,0,5,1,5,14,0
90222,1,0,0,3,1,1,0,0,4,8,3,0,0,0,0,0,0,15,0
90230,2,7,1,0,8,7,3,6,11,29,28,10,3,0,3,0,0,51,0
90232,0,7,0,1,2,3,0,0,8,12,13,3,0,0,2,0,0,25,0
90240,0,1,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,7,0
90241,4,1,3,5,10,5,0,1,15,13,23,6,0,0,0,0,0,44,0
90242,2,9,0,8,1,5,0,0,22,14,9,1,0,0,0,0,0,45,0
90245,2,37,4,0,8,1,1,6,31,24,15,4,0,2,1,0,1,63,0
90247,0,9,0,1,2,2,1,6,13,11,11,8,0,0,1,0,0,28,0
90248,2,5,0,2,4,1,0,3,9,6,8,1,0,0,1,0,0,25,0
90249,0,3,0,0,3,0,2,1,4,11,3,10,0,0,5,0,0,6,0
90250,0,5,2,3,7,9,3,2,18,12,26,6,0,0,1,0,0,53,0
90254,0,3,0,0,7,1,6,1,9,9,16,4,2,0,0,0,0,23,0
90255,5,2,8,0,0,10,4,4,20,30,15,22,0,0,11,0,0,28,0
90260,0,1,0,2,0,0,0,1,1,1,2,0,0,0,1,0,1,5,0
90261,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0
90262,3,4,6,4,15,6,0,1,30,32,26,29,0,0,1,0,0,53,0
90264,0,2,0,0,0,0,1,4,0,1,6,0,0,0,0,0,0,7,0
90265,0,8,3,2,6,3,2,3,13,12,7,4,0,0,1,0,0,30,0
90266,4,12,0,5,22,4,2,7,23,25,26,13,3,0,0,0,0,57,0
90270,0,4,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,6,0
90272,4,6,0,7,10,2,5,0,17,24,28,6,0,0,0,0,0,58,0
90274,5,1,0,5,4,3,2,4,7,10,7,0,0,0,0,0,0,25,0
90275,4,0,0,3,4,4,2,2,18,14,22,9,0,0,0,0,0,40,0
90277,5,4,3,3,5,2,0,2,14,20,10,7,1,0,0,0,0,37,0
90278,3,12,1,3,4,3,13,3,43,36,29,8,0,0,3,0,0,93,0
90280,5,6,0,8,10,6,6,8,21,29,39,32,0,0,4,1,0,60,0
90290,0,0,0,2,4,0,0,3,6,11,6,0,0,0,0,0,0,16,0
90291,1,18,0,12,19,9,3,7,38,32,26,20,5,0,3,0,0,74,0
90292,0,5,1,0,1,5,2,0,6,5,6,0,2,0,0,0,0,13,0
90293,0,0,0,0,2,0,0,0,1,4,3,0,0,0,0,0,0,8,0
90301,0,3,1,0,7,1,0,1,8,6,6,0,0,0,1,0,0,21,0
90302,0,3,0,0,1,0,2,2,3,6,13,0,0,0,0,0,0,18,0
90303,0,2,3,0,4,11,0,1,8,13,15,7,0,0,4,0,0,28,0
90304,0,3,0,1,6,0,0,0,11,5,0,4,0,0,1,1,2,9,0
90401,1,11,0,0,21,8,1,3,21,19,21,28,2,0,5,0,0,33,0
90402,2,1,2,1,3,0,2,0,16,18,10,2,2,0,0,0,0,25,0
